Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-06-11 04:15,TP/SL,3318.03,2.9,9667.121,-46.76,-0.48,1.85,0.02,-45.8,-0.47,-46.76,0.00
1,Entry long,2025-06-10 20:00,ICT Long v4,3333.49,2.9,9667.121,-46.76,-0.48,1.85,0.02,-45.8,-0.47,-46.76,0.00
2,Exit long,2025-06-19 00:30,TP/SL,3368.71,2.9,9809.337,-42.04,-0.43,37.04,0.38,-41.06,-0.42,-88.8,-0.01
2,Entry long,2025-06-18 20:00,ICT Long v4,3382.53,2.9,9809.337,-42.04,-0.43,37.04,0.38,-41.06,-0.42,-88.8,-0.01
3,Exit short,2025-06-26 04:15,TP/SL,3336.55,3,9966.63,-45.02,-0.45,30.11,0.30,-44.02,-0.44,-133.82,-0.01
3,Entry short,2025-06-25 14:45,ICT Short v4,3322.21,3,9966.63,-45.02,-0.45,30.11,0.30,-44.02,-0.44,-133.82,-0.01
4,Exit short,2025-07-01 16:15,TP/SL,3351.82,3,9888.3,-169.15,-1.71,145.29,1.47,-168.15,-1.70,-302.97,-0.03
4,Entry short,2025-06-27 10:15,ICT Short v4,3296.1,3,9888.3,-169.15,-1.71,145.29,1.47,-168.15,-1.70,-302.97,-0.03
5,Exit long,2025-07-03 01:15,TP/SL,3357.53,2.9,9676.372,58.52,0.60,59.5,0.61,-11.93,-0.12,-244.45,-0.02
5,Entry long,2025-07-02 14:00,ICT Long v4,3336.68,2.9,9676.372,58.52,0.60,59.5,0.61,-11.93,-0.12,-244.45,-0.02
6,Exit long,2025-07-03 11:00,TP/SL,3359.92,2.9,9706.213,35.61,0.37,36.58,0.38,-5.47,-0.06,-208.84,-0.02
6,Entry long,2025-07-03 08:00,ICT Long v4,3346.97,2.9,9706.213,35.61,0.37,36.58,0.38,-5.47,-0.06,-208.84,-0.02
7,Exit short,2025-07-09 19:15,TP/SL,3300.97,3,9888.09,-16.8,-0.17,7.56,0.08,-15.81,-0.16,-225.64,-0.02
7,Entry short,2025-07-09 19:15,ICT Short v4,3296.03,3,9888.09,-16.8,-0.17,7.56,0.08,-15.81,-0.16,-225.64,-0.02
8,Exit short,2025-07-11 05:45,TP/SL,3330.84,3,9953.7,-40.81,-0.41,16.49,0.17,-39.82,-0.40,-266.45,-0.03
8,Entry short,2025-07-10 20:45,ICT Short v4,3317.9,3,9953.7,-40.81,-0.41,16.49,0.17,-39.82,-0.40,-266.45,-0.03
9,Exit long,2025-07-14 19:15,TP/SL,3345.54,2.9,9736.025,-35.9,-0.37,3.93,0.04,-34.93,-0.36,-302.35,-0.03
9,Entry long,2025-07-14 19:15,ICT Long v4,3357.25,2.9,9736.025,-35.9,-0.37,3.93,0.04,-34.93,-0.36,-302.35,-0.03
